Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-15 10:33:09.645109,0.107861,-1.013751,-0.036075,0.011756,0.059605,0.00319,5.541869,-38.194302,-19.607637
2020-05-15 10:33:09.697840,0.021926,-1.026265,-0.001979,-0.08919,-0.019196,-0.013762,5.254561,-37.454521,-19.714121
2020-05-15 10:33:09.750576,-0.009374,-1.029594,0.01914,0.000439,-0.001137,0.003969,5.42287,-36.666382,-19.871264
2020-05-15 10:33:09.804122,-0.034056,-1.027128,0.034415,0.002049,-6.5E-05,0.000737,5.614458,-36.015942,-19.992281
2020-05-15 10:33:09.857281,0.015787,-1.046608,-0.067566,-0.01078,0.019788,-0.004761,5.771172,-35.679489,-20.030361
2020-05-15 10:33:09.910282,-0.050491,-0.984778,-0.015,0.017168,0.018413,0.005318,6.104065,-35.42754,-20.072289
2020-05-15 10:33:09.963243,0.018365,-1.036991,-0.010579,-0.037199,-0.007701,-0.007204,6.64461,-35.356781,-20.201023
2020-05-15 10:33:10.016041,0.089078,-1.035573,0.029973,-0.000853,0.032921,0.001042,7.259047,-35.465034,-20.237692
2020-05-15 10:33:10.068848,-0.002242,-1.034772,-0.010821,0.000674,0.009708,0.001501,7.699256,-35.638523,-19.93853
2020-05-15 10:33:10.121632,-0.029529,-1.031936,0.045187,-0.038727,-0.008007,-0.004761,7.879085,-35.883381,-19.758698
2020-05-15 10:33:10.174373,0.041507,-1.012765,-0.015787,0.016404,-0.014573,0.004555,8.109539,-36.180813,-19.473431
2020-05-15 10:33:10.227157,0.027204,-1.027621,0.061741,-0.013528,-0.011825,-0.003997,8.300834,-36.718571,-19.274622
2020-05-15 10:33:10.279925,-0.038708,-1.017326,0.005833,0.005561,0.011388,-0.000637,8.322785,-37.198677,-19.052423
2020-05-15 10:33:10.332747,0.083247,-1.038039,-0.022812,-0.010321,-0.018849,-0.002776,8.470677,-37.781963,-18.377209
2020-05-15 10:33:10.385595,0.02389,-1.025463,0.004319,0.004034,0.007723,-0.000179,8.286711,-38.220715,-17.86517
2020-05-15 10:33:10.438470,-0.028413,-1.02947,8E-05,-0.062398,-0.014879,0.000432,8.095452,-38.805508,-17.495186
2020-05-15 10:33:10.491201,-0.010986,-1.015662,-0.024023,-0.094272,-0.001982,-0.001502,8.050337,-39.241432,-16.741608
2020-05-15 10:33:10.544046,0.03457,-1.019792,-0.007853,-0.073709,-0.015793,0.002682,7.802326,-39.965496,-16.334499
2020-05-15 10:33:10.596814,0.095953,-1.016093,0.006499,-0.028353,-0.002965,-0.002053,7.660187,-40.727249,-16.152918
2020-05-15 10:33:10.649533,0.046724,-1.041615,-0.010821,-0.106696,0.005893,0.000849,7.4974,-41.376144,-16.27133
2020-05-15 10:33:10.702517,0.009097,-1.027683,0.024495,-0.091425,0.001464,-0.001442,7.252537,-41.995773,-16.014984
2020-05-15 10:33:10.755475,0.053353,-1.004257,0.014028,-0.161827,0.003296,0.000849,6.821413,-42.50499,-15.482178
2020-05-15 10:33:10.808260,0.007681,-1.001607,0.015732,0.076226,0.021345,-0.000803,6.513758,-42.95554,-15.174488
2020-05-15 10:33:10.861063,-0.022769,-1.027189,0.017618,0.15916,0.022405,-3.8E-05,6.381536,-43.315796,-14.835021
2020-05-15 10:33:10.913962,0.024995,-1.037176,-0.000949,0.115789,-0.00707,0.001031,6.010036,-43.4632,-14.612755
2020-05-15 10:33:10.966853,0.032667,-1.034587,0.013541,0.124182,-0.025287,-0.000628,5.671908,-43.684166,-14.672217
2020-05-15 10:33:11.019735,0.098347,-1.00623,-0.041586,0.011936,-0.016582,-0.000169,5.426331,-43.762661,-14.467098
2020-05-15 10:33:11.072516,0.051205,-1.029594,-0.0064,0.101885,0.022971,-0.000628,5.295387,-43.961327,-14.293633
2020-05-15 10:33:11.125300,0.033711,-1.017511,-0.000949,0.102918,0.001833,-0.000902,5.265394,-44.080589,-14.469263
2020-05-15 10:33:11.178198,0.024933,-1.014059,-0.017119,-0.019204,0.000443,-0.002939,5.101882,-44.088509,-13.91085
2020-05-15 10:33:11.230962,0.013332,-1.026573,-0.01179,-0.029488,0.002938,-0.001069,4.951807,-44.168064,-14.188932
2020-05-15 10:33:11.283741,0.015419,-1.021025,-0.010639,-0.003704,0.001954,-0.002657,4.866199,-44.1082,-14.576799
2020-05-15 10:33:11.336532,0.015173,-1.022073,-0.013546,0.00572,0.002775,8.9E-05,4.735625,-44.050228,-14.759117
2020-05-15 10:33:11.389388,0.007185,-1.030087,-0.067627,-0.004206,0.017589,0.005892,4.662612,-44.029575,-15.041297
2020-05-15 10:33:11.442248,0.127381,-1.033169,-0.103842,0.008164,0.565687,0.010626,4.565417,-43.97081,-15.2898
2020-05-15 10:33:11.495137,0.009035,-1.010484,0.001897,0.00572,0.706492,0.011084,4.450491,-43.833874,-15.270468
2020-05-15 10:33:11.548327,0.089262,-1.019545,-0.067384,0.000222,0.421676,0.003601,4.539135,-43.78672,-15.353315
2020-05-15 10:33:11.601216,0.008974,-1.051601,-0.032683,-0.01001,-0.129935,-0.012434,4.4699,-43.926365,-15.546593
2020-05-15 10:33:11.653889,-0.004102,-1.028977,-0.05503,0.004957,0.257811,0.012611,4.435294,-43.866219,-15.649384
2020-05-15 10:33:11.706614,-0.010118,-1.025155,-0.063145,-0.06682,-0.792266,-0.036258,4.534147,-43.918373,-15.907007
2020-05-15 10:33:11.759356,-0.011606,-1.024169,-0.063509,0.03886,-0.229812,-0.002813,4.471344,-43.964016,-16.139566
2020-05-15 10:33:11.812179,-0.015761,-1.027436,-0.053213,-0.00161,0.23017,-0.000828,4.563809,-44.107422,-16.498461
2020-05-15 10:33:11.864892,0.013762,-1.02158,-0.031896,0.075947,0.027927,-0.001391,4.627896,-44.014915,-16.849993
2020-05-15 10:33:11.917728,0.00427,-1.027868,0.035754,0.077169,-0.010863,-0.006278,4.616467,-44.093616,-17.238976
2020-05-15 10:33:11.970509,0.02125,-1.019854,-0.058664,-0.110367,-0.090734,-0.008416,4.711181,-44.249538,-17.682814
2020-05-15 10:33:12.023570,0.014069,-1.01973,-0.004099,0.073351,0.101383,-0.00078,4.593623,-44.367352,-18.547136
2020-05-15 10:33:12.076360,-0.012909,-1.033662,-0.113229,-0.058749,0.107797,0.001511,4.613604,-44.358017,-19.168598
2020-05-15 10:33:12.129168,0.033588,-1.009251,-0.021661,0.299676,0.414757,0.006856,4.449362,-44.309578,-20.142031
2020-05-15 10:33:12.182003,0.008176,-1.05308,0.018166,0.607858,1.100148,0.060459,4.058136,-44.011497,-21.246059
2020-05-15 10:33:12.234774,0.147699,-0.994209,-0.097362,0.160552,0.075727,0.004107,3.608225,-43.679359,-22.149153
2020-05-15 10:33:12.287476,0.107616,-1.007463,-0.057998,-0.232998,-0.296137,-0.022771,3.419448,-43.370968,-22.833609
2020-05-15 10:33:12.340254,0.053906,-1.027868,-0.085674,-0.182449,-0.20069,-0.014372,3.320656,-43.054661,-23.70681
2020-05-15 10:33:12.392974,0.060228,-1.014182,-0.092699,0.267148,0.165829,0.003496,3.163177,-42.728184,-24.393808
2020-05-15 10:33:12.445819,0.04077,-1.019176,-0.107294,0.240728,0.078781,0.000136,3.066182,-42.389919,-25.205238
2020-05-15 10:33:12.498603,-0.034677,-1.013319,-0.094152,-0.040881,-0.20298,-0.027811,2.785174,-41.883781,-25.859495
2020-05-15 10:33:12.551387,0.026959,-1.017943,-0.080647,0.097022,-0.20237,-0.021244,2.764043,-41.306385,-26.450039
2020-05-15 10:33:12.604185,0.002347,-1.035943,-0.074833,-0.002612,-0.098781,-0.047404,2.754333,-40.771702,-27.150696
2020-05-15 10:33:12.657139,0.026038,-1.008326,-0.046491,0.168736,-0.077401,-0.016249,2.976106,-40.222279,-27.44557
2020-05-15 10:33:12.709919,0.03543,-1.023121,-0.060057,0.446069,0.416483,0.041019,3.051685,-39.560093,-27.902807
2020-05-15 10:33:12.762702,0.509611,-1.054067,-0.038497,-0.399674,-0.207515,-0.016402,2.903581,-38.783241,-28.303568
2020-05-15 10:33:12.815450,-0.013653,-1.011285,-0.078346,-0.181901,-0.507603,-0.042364,2.871505,-38.264606,-27.866264
2020-05-15 10:33:12.868186,0.017138,-1.01973,-0.05824,0.081474,-0.065964,-0.011574,3.08557,-37.843315,-28.000702
