Time,Acc X,Acc Y,Acc Z,Ang Acc X,Ang Acc Y,Ang Acc Z,Disp X,Disp Y,Disp Z,Rot X,Rot Y,Rot z,Vel X,Vel Y,Vel Z,Ang Vel X,Ang Vel Y,Ang Vel Z
6.23168,0.00306904,0,0,0.0306569,0,0,0.0219943,0,0,-0.0124248,0,0,0.0102434,0,0,-0.0512401,0,0
6.33168,0.00310785,0,0,0.0428705,0,0,0.023034,0,0,-0.0173748,0,0,0.0105522,0,0,-0.0475562,0,0
6.43168,0.00314634,0,0,0.0540285,0,0,0.0241049,0,0,-0.0218969,0,0,0.010865,0,0,-0.0427012,0,0
6.53168,0.00318452,0,0,0.0638562,0,0,0.0252072,0,0,-0.0258799,0,0,0.0111815,0,0,-0.0367948,0,0
6.63168,0.00322238,0,0,0.0721115,0,0,0.0263413,0,0,-0.0292257,0,0,0.0115018,0,0,-0.0299824,0,0
6.73168,0.00325993,0,0,0.0785911,0,0,0.0275077,0,0,-0.0318518,0,0,0.011826,0,0,-0.0224318,0,0
6.83168,0.00329718,0,0,0.0831356,0,0,0.0287066,0,0,-0.0336936,0,0,0.0121538,0,0,-0.0143288,0,0
6.93168,0.00333411,0,0,0.0856331,0,0,0.0299386,0,0,-0.0347058,0,0,0.0124854,0,0,-0.00587294,0,0
7.03168,0.00337073,0,0,0.0860219,0,0,0.0312038,0,0,-0.0348634,0,0,0.0128206,0,0,0.0027275,0,0
7.13168,0.00340704,0,0,0.0842926,0,0,0.0325028,0,0,-0.0341625,0,0,0.0131595,0,0,0.0112608,0,0
7.23168,0.00344304,0,0,0.0804878,0,0,0.0338358,0,0,-0.0326205,0,0,0.013502,0,0,0.0195168,0,0
7.33168,0.00347874,0,0,0.074701,0,0,0.0352033,0,0,-0.0302752,0,0,0.0138481,0,0,0.0272922,0,0
7.43168,0.00351412,0,0,0.0670749,0,0,0.0366056,0,0,-0.0271844,0,0,0.0141978,0,0,0.0343956,0,0
7.53168,0.00354921,0,0,0.0577972,0,0,0.038043,0,0,-0.0234243,0,0,0.0145509,0,0,0.0406521,0,0
7.63168,0.00358398,0,0,0.0470963,0,0,0.0395159,0,0,-0.0190874,0,0,0.0149076,0,0,0.0459076,0,0
7.73168,0.00361845,0,0,0.0352358,0,0,0.0410246,0,0,-0.0142805,0,0,0.0152677,0,0,0.0500327,0,0
7.83168,0.00365262,0,0,0.0225076,0,0,0.0425696,0,0,-0.00912198,0,0,0.0156313,0,0,0.0529258,0,0
7.93168,0.00368648,0,0,0.00922519,0,0,0.044151,0,0,-0.00373883,0,0,0.0159982,0,0,0.0545157,0,0
8.03168,0.00372004,0,0,-0.00428435,0,0,0.0457693,0,0,0.00173638,0,0,0.0163686,0,0,0.0547633,0,0
8.13168,0.0037533,0,0,-0.0176884,0,0,0.0474248,0,0,0.00716884,0,0,0.0167422,0,0,0.0536624,0,0
8.23168,0.00378625,0,0,-0.0306569,0,0,0.0491179,0,0,0.0124248,0,0,0.0171192,0,0,0.0512401,0,0
8.33168,0.00381891,0,0,-0.0428705,0,0,0.0508488,0,0,0.0173748,0,0,0.0174995,0,0,0.0475562,0,0
8.43168,0.00385126,0,0,-0.0540285,0,0,0.0526179,0,0,0.0218969,0,0,0.017883,0,0,0.0427012,0,0
8.53168,0.00388332,0,0,-0.0638562,0,0,0.0544255,0,0,0.0258799,0,0,0.0182697,0,0,0.0367948,0,0
8.63168,0.00391508,0,0,-0.0721115,0,0,0.0562719,0,0,0.0292257,0,0,0.0186596,0,0,0.0299824,0,0
8.73168,0.00394653,0,0,-0.0785911,0,0,0.0581575,0,0,0.0318518,0,0,0.0190527,0,0,0.0224318,0,0
8.83168,0.0039777,0,0,-0.0831356,0,0,0.0600826,0,0,0.0336936,0,0,0.0194489,0,0,0.0143288,0,0
8.93168,0.00400856,0,0,-0.0856331,0,0,0.0620474,0,0,0.0347058,0,0,0.0198483,0,0,0.00587294,0,0
9.03168,0.00403913,0,0,-0.0860219,0,0,0.0640523,0,0,0.0348634,0,0,0.0202506,0,0,-0.0027275,0,0
9.13168,0.00406941,0,0,-0.0842926,0,0,0.0660976,0,0,0.0341625,0,0,0.0206561,0,0,-0.0112608,0,0
9.23168,0.00409939,0,0,-0.0804878,0,0,0.0681836,0,0,0.0326205,0,0,0.0210645,0,0,-0.0195168,0,0
9.33168,0.00412908,0,0,-0.074701,0,0,0.0703106,0,0,0.0302752,0,0,0.0214759,0,0,-0.0272922,0,0
9.43168,0.00415847,0,0,-0.0670749,0,0,0.0724789,0,0,0.0271844,0,0,0.0218903,0,0,-0.0343956,0,0
9.53168,0.00418757,0,0,-0.0577972,0,0,0.0746888,0,0,0.0234243,0,0,0.0223076,0,0,-0.0406521,0,0
9.63168,0.00421638,0,0,-0.0470963,0,0,0.0769406,0,0,0.0190874,0,0,0.0227278,0,0,-0.0459076,0,0
9.73168,0.0042449,0,0,-0.0352358,0,0,0.0792345,0,0,0.0142805,0,0,0.0231509,0,0,-0.0500327,0,0
9.83168,0.00427314,0,0,-0.0225076,0,0,0.0815708,0,0,0.00912198,0,0,0.0235768,0,0,-0.0529258,0,0
9.93168,0.00430108,0,0,-0.00922519,0,0,0.0839499,0,0,0.00373883,0,0,0.0240055,0,0,-0.0545157,0,0
10.0317,0.00432873,0,0,0.00428435,0,0,0.086372,0,0,-0.00173638,0,0,0.024437,0,0,-0.0547633,0,0
10.1317,0.00435609,0,0,0.0176884,0,0,0.0888374,0,0,-0.00716884,0,0,0.0248712,0,0,-0.0536624,0,0
10.2317,0.00438317,0,0,0.0306569,0,0,0.0913464,0,0,-0.0124248,0,0,0.0253082,0,0,-0.0512401,0,0
10.3317,0.00440996,0,0,0.0428705,0,0,0.0938991,0,0,-0.0173748,0,0,0.0257479,0,0,-0.0475562,0,0
10.4317,0.00443647,0,0,0.0540285,0,0,0.096496,0,0,-0.0218969,0,0,0.0261902,0,0,-0.0427012,0,0
10.5317,0.00446269,0,0,0.0638562,0,0,0.0991373,0,0,-0.0258799,0,0,0.0266352,0,0,-0.0367948,0,0
10.6317,0.00448863,0,0,0.0721115,0,0,0.101823,0,0,-0.0292257,0,0,0.0270827,0,0,-0.0299824,0,0
10.7317,0.00451428,0,0,0.0785911,0,0,0.104554,0,0,-0.0318518,0,0,0.0275329,0,0,-0.0224318,0,0
10.8317,0.00453965,0,0,0.0831356,0,0,0.10733,0,0,-0.0336936,0,0,0.0279856,0,0,-0.0143288,0,0
